A0101 	 1162 	 0.37464
A0201 	 3094 	 0.63992
A0202 	 1452 	 0.52614
A0203 	 1448 	 0.53211
A0206 	 1442 	 0.44302
A0301 	 2099 	 0.46350
A1101 	 1990 	 0.49606
A2301 	 109 	 0.30609
A2402 	 202 	 0.50832
A2403 	 259 	 0.19279
A2601 	 677 	 0.11213
A2902 	 165 	 0.57897
A3001 	 674 	 0.05341
A3002 	 97 	 0.16605
A3101 	 1874 	 0.24063
A3301 	 1145 	 0.15461
A6801 	 1146 	 0.41120
A6802 	 1439 	 0.31427
A6901 	 838 	 -0.01701
B0702 	 1267 	 0.42781
B0801 	 713 	 -0.05026
B1501 	 983 	 0.31146
B1801 	 123 	 0.21986
B2705 	 974 	 0.08163
B3501 	 741 	 0.44800
B4001 	 1083 	 -0.06526
B4002 	 123 	 0.09612
B4402 	 124 	 0.30336
B4403 	 124 	 0.09344
B4501 	 119 	 0.37911
B5101 	 249 	 0.58242
B5301 	 259 	 0.52959
B5401 	 260 	 0.43128
B5701 	 64 	 0.03859
B5801 	 993 	 0.39055
